date,sessions_count
2025-10-20,96
2025-10-21,610
2025-10-22,534
2025-10-23,522
2025-10-24,590
2025-10-25,557
2025-10-26,548
2025-10-27,558
2025-10-28,540
2025-10-29,561
2025-10-30,569
2025-10-31,565
2025-11-01,593
2025-11-02,587
2025-11-03,553
2025-11-04,592
2025-11-05,559
2025-11-06,533
2025-11-07,572
2025-11-08,576
2025-11-09,557
2025-11-10,565
2025-11-11,574
2025-11-12,529
2025-11-13,565
2025-11-14,565
2025-11-15,558
2025-11-16,580
2025-11-17,555
2025-11-18,510
2025-11-19,559
2025-11-20,574
2025-11-21,530
2025-11-22,569
2025-11-23,533
2025-11-24,556
2025-11-25,503
2025-11-26,536
2025-11-27,572
2025-11-28,589
2025-11-29,571
2025-11-30,555
2025-12-01,541
2025-12-02,540
2025-12-03,564
2025-12-04,549
2025-12-05,507
2025-12-06,575
2025-12-07,569
2025-12-08,576
2025-12-09,532
2025-12-10,540
2025-12-11,533
2025-12-12,531
2025-12-13,531
2025-12-14,557
2025-12-15,560
2025-12-16,557
2025-12-17,512
2025-12-18,597
2025-12-19,573
2025-12-20,555
2025-12-21,588
2025-12-22,572
2025-12-23,538
2025-12-24,547
2025-12-25,523
2025-12-26,577
2025-12-27,562
2025-12-28,519
2025-12-29,498
2025-12-30,547
2025-12-31,545
2026-01-01,577
2026-01-02,602
2026-01-03,579
2026-01-04,574
2026-01-05,530
2026-01-06,608
2026-01-07,568
2026-01-08,574
2026-01-09,568
2026-01-10,562
2026-01-11,535
2026-01-12,577
2026-01-13,545
2026-01-14,537
2026-01-15,583
2026-01-16,479
2026-01-17,500
2026-01-18,467
