user_id,total_sessions,first_session,last_session,total_revenue,total_orders,clv
user_000342,80,2025-10-22T08:20:25.000+02:00,2026-01-18T13:36:25.000+02:00,4.511809944000002E8,506800,4.511809944E8
user_000572,72,2025-10-22T10:35:08.000+02:00,2026-01-14T00:28:40.000+02:00,4.0606289496000016E8,456120,4.0606289496E8
user_000639,71,2025-10-21T16:44:29.000+02:00,2026-01-14T04:21:35.000+02:00,4.0042313253000015E8,449785,4.0042313253E8
user_000734,70,2025-10-25T18:05:41.000+02:00,2026-01-17T19:48:55.000+02:00,3.9478337010000014E8,443450,3.947833701E8
user_000807,69,2025-10-20T23:32:26.000+02:00,2026-01-17T16:30:32.000+02:00,3.8914360767000014E8,437115,3.8914360767E8
user_000949,68,2025-10-22T14:35:22.000+02:00,2026-01-18T15:30:18.000+02:00,3.835038452400001E8,430780,3.8350384524E8
user_000404,68,2025-10-23T07:11:42.000+02:00,2026-01-16T09:19:48.000+02:00,3.835038452400001E8,430780,3.8350384524E8
user_000996,68,2025-10-20T20:32:56.000+02:00,2026-01-18T06:38:20.000+02:00,3.835038452400001E8,430780,3.8350384524E8
user_000073,67,2025-10-22T11:50:37.000+02:00,2026-01-18T03:34:53.000+02:00,3.778640828100001E8,424445,3.7786408281E8
user_000933,67,2025-10-21T13:18:54.000+02:00,2026-01-16T09:33:34.000+02:00,3.778640828100001E8,424445,3.7786408281E8
user_000593,67,2025-10-20T23:50:39.000+02:00,2026-01-18T16:05:22.000+02:00,3.778640828100001E8,424445,3.7786408281E8
user_000323,67,2025-10-22T14:41:10.000+02:00,2026-01-17T05:17:34.000+02:00,3.778640828100001E8,424445,3.7786408281E8
user_000110,66,2025-10-20T22:35:46.000+02:00,2026-01-18T01:16:37.000+02:00,3.722243203800001E8,418110,3.7222432038E8
user_000934,66,2025-10-20T21:02:36.000+02:00,2026-01-18T16:05:22.000+02:00,3.722243203800001E8,418110,3.7222432038E8
user_000522,66,2025-10-21T18:22:16.000+02:00,2026-01-17T19:33:20.000+02:00,3.722243203800001E8,418110,3.7222432038E8
user_000334,66,2025-10-21T13:36:43.000+02:00,2026-01-17T16:57:18.000+02:00,3.722243203800001E8,418110,3.7222432038E8
