date,daily_revenue
2025-10-20,6494.89
2025-10-21,93940.06999999998
2025-10-22,82625.26000000001
2025-10-23,72999.77999999998
2025-10-24,80900.46000000004
2025-10-25,88806.79999999997
2025-10-26,89493.14999999997
2025-10-27,86436.34999999999
2025-10-28,84444.05999999998
2025-10-29,81997.21000000002
2025-10-30,92659.0499999999
2025-10-31,82814.08000000002
2025-11-01,73518.31999999998
2025-11-02,102110.35
2025-11-03,82732.63000000002
2025-11-04,80659.04999999999
2025-11-05,84236.27999999998
2025-11-06,75874.99000000002
2025-11-07,86420.37999999999
2025-11-08,86193.30999999998
2025-11-09,83429.92000000003
2025-11-10,75415.77999999998
2025-11-11,63629.23999999999
2025-11-12,77547.67999999996
2025-11-13,83257.35999999999
2025-11-14,79546.27999999998
2025-11-15,85480.38999999998
2025-11-16,113081.06000000001
2025-11-17,84449.06000000001
2025-11-18,91764.49999999999
2025-11-19,91127.66000000002
2025-11-20,108334.74999999996
2025-11-21,83424.42
2025-11-22,89911.94000000003
2025-11-23,83983.9
2025-11-24,81557.21
2025-11-25,73319.48000000001
2025-11-26,74168.58
2025-11-27,96060.99
2025-11-28,99947.85000000003
2025-11-29,86729.25000000001
2025-11-30,83964.20000000004
2025-12-01,70153.14
2025-12-02,91652.45999999996
2025-12-03,85281.89
2025-12-04,90070.56999999999
2025-12-05,71347.45999999999
2025-12-06,81399.99999999999
2025-12-07,86566.63999999993
2025-12-08,86595.79999999996
2025-12-09,93972.66
2025-12-10,62975.51999999999
2025-12-11,74240.76
2025-12-12,79668.56
2025-12-13,67245.82
2025-12-14,82375.70999999998
2025-12-15,77421.23000000001
2025-12-16,61567.58999999999
2025-12-17,81556.49999999996
2025-12-18,70944.8
2025-12-19,84402.79000000002
2025-12-20,75839.86999999998
2025-12-21,85007.70999999998
2025-12-22,101176.63000000002
2025-12-23,60484.24999999999
2025-12-24,92721.74999999999
2025-12-25,89315.63000000006
2025-12-26,70692.37
2025-12-27,84761.49000000003
2025-12-28,75813.18000000002
2025-12-29,89425.61999999998
2025-12-30,77169.45000000003
2025-12-31,84134.84000000003
2026-01-01,69315.88999999998
2026-01-02,80345.91
2026-01-03,98829.05999999998
2026-01-04,70993.16999999998
2026-01-05,64161.249999999985
2026-01-06,85804.20000000003
2026-01-07,75444.85
2026-01-08,80638.97999999998
2026-01-09,61023.64000000001
2026-01-10,93376.68000000002
2026-01-11,67429.49999999999
2026-01-12,69177.99999999999
2026-01-13,85154.14
2026-01-14,65700.29999999999
2026-01-15,80469.62000000002
2026-01-16,63568.26
2026-01-17,93730.67999999993
2026-01-18,80324.26000000004
