product_id,product_name,total_units,revenue
prod_00357,Profound Value-Added Service-Desk,79,35169.220000000016
prod_00154,Triple-Buffered Homogeneous Info-Mediaries,56,33272.40000000001
prod_00299,Multi-Lateral Fault-Tolerant Contingency,72,33021.35999999999
prod_00107,Vision-Oriented Multi-State Implementation,57,32708.880000000005
prod_00119,Down-Sized Fault-Tolerant Policy,63,32668.019999999993
prod_00050,Virtual Object-Oriented Implementation,65,31993.000000000007
prod_00854,Open-Source User-Facing Matrix,64,30831.360000000004
prod_00256,Extended Zero Administration Challenge,56,29856.400000000005
prod_00410,Upgradable High-Level Task-Force,55,29853.449999999993
prod_00706,Total Impactful Artificial Intelligence,72,29774.159999999996
prod_00782,Pre-Emptive 5Thgeneration Array,69,29767.97999999998
prod_00616,Operative Attitude-Oriented Budgetary Management,59,28996.139999999992
prod_00273,Visionary Responsive Methodology,56,28916.16000000001
prod_00021,Reactive Clear-Thinking Core,52,28334.8
prod_00596,Grass-Roots Zero Tolerance Infrastructure,58,28035.46000000001
prod_00928,Programmable Dedicated Help-Desk,62,28009.119999999995
prod_00401,Future-Proofed Local Encryption,48,27966.719999999987
prod_00069,Assimilated Fault-Tolerant Orchestration,68,27860.959999999995
prod_00053,Pre-Emptive 4Thgeneration Info-Mediaries,81,27621.809999999998
prod_00995,Multi-Tiered Client-Server Application,57,27383.369999999995
