rowkey,cf:user_id,cf:session_id,cf:start_time,cf:end_time,cf:duration_seconds,cf:conversion_status,cf:referrer,cf:page_views_count,cf:viewed_products_count,cf:geo_city,cf:geo_state,cf:geo_country,cf:device_type,cf:device_os,cf:device_browser
user_000000#2025-10-23T19:20:03#sess_d8adcc00ef,user_000000,sess_d8adcc00ef,2025-10-23T19:20:03,2025-10-23T20:12:20,3137,abandoned,affiliate,11,7,Lake Deborah,MS,GW,desktop,Android,Safari
user_000000#2025-10-24T18:28:57#sess_040af6d18f,user_000000,sess_040af6d18f,2025-10-24T18:28:57,2025-10-24T18:49:35,1238,abandoned,search_engine,11,7,Lake Deborah,MS,GW,mobile,macOS,Chrome
user_000000#2025-10-25T19:10:52#sess_58d994ad07,user_000000,sess_58d994ad07,2025-10-25T19:10:52,2025-10-25T19:29:51,1139,abandoned,direct,6,3,Lake Deborah,MS,GW,mobile,macOS,Chrome
user_000000#2025-10-26T20:19:26#sess_02415618db,user_000000,sess_02415618db,2025-10-26T20:19:26,2025-10-26T21:00:50,2484,abandoned,email,7,3,Lake Deborah,MS,GW,desktop,iOS,Safari
user_000000#2025-10-27T01:17:35#sess_9aea5effdd,user_000000,sess_9aea5effdd,2025-10-27T01:17:35,2025-10-27T01:21:15,220,converted,direct,14,5,Lake Deborah,MS,GW,mobile,Android,Safari
user_000000#2025-10-28T01:19:28#sess_1439441c19,user_000000,sess_1439441c19,2025-10-28T01:19:28,2025-10-28T02:00:00,2432,browsed,social,13,2,Lake Deborah,MS,GW,tablet,Windows,Firefox
user_000000#2025-10-28T18:03:43#sess_37b06ad5da,user_000000,sess_37b06ad5da,2025-10-28T18:03:43,2025-10-28T18:40:19,2196,converted,direct,13,5,Lake Deborah,MS,GW,desktop,Android,Edge
user_000000#2025-10-30T04:40:55#sess_65a478dd4f,user_000000,sess_65a478dd4f,2025-10-30T04:40:55,2025-10-30T05:30:26,2971,converted,email,14,4,Lake Deborah,MS,GW,tablet,macOS,Edge
user_000000#2025-11-01T23:29:22#sess_44bf227020,user_000000,sess_44bf227020,2025-11-01T23:29:22,2025-11-02T00:26:35,3433,abandoned,affiliate,5,2,Lake Deborah,MS,GW,tablet,Windows,Edge
user_000000#2025-11-03T07:02:25#sess_60e1f14b91,user_000000,sess_60e1f14b91,2025-11-03T07:02:25,2025-11-03T07:39:54,2249,converted,direct,16,7,Lake Deborah,MS,GW,desktop,iOS,Safari
user_000000#2025-11-04T23:15:43#sess_ea41cedf47,user_000000,sess_ea41cedf47,2025-11-04T23:15:43,2025-11-04T23:49:12,2009,abandoned,email,16,8,Lake Deborah,MS,GW,mobile,iOS,Edge
