p1,p2,co_purchase_count
prod_00446,prod_00804,3
prod_00338,prod_00537,3
prod_00014,prod_00195,3
prod_00088,prod_00926,3
prod_00545,prod_00571,3
prod_00795,prod_00862,3
prod_00582,prod_00680,2
prod_00002,prod_00707,2
prod_00084,prod_00967,2
prod_00292,prod_00529,2
prod_00051,prod_00870,2
prod_00149,prod_00205,2
prod_00169,prod_00176,2
prod_00003,prod_00069,2
prod_00548,prod_00558,2
prod_00321,prod_00506,2
prod_00155,prod_00337,2
prod_00192,prod_00918,2
prod_00138,prod_00474,2
prod_00505,prod_00600,2
prod_00792,prod_00795,2
prod_00162,prod_00531,2
prod_00011,prod_00106,2
prod_00305,prod_00812,2
prod_00428,prod_00551,2
prod_00370,prod_00898,2
prod_00504,prod_00608,2
prod_00370,prod_00488,2
prod_00120,prod_00431,2
prod_00443,prod_00973,2
prod_00183,prod_00639,2
prod_00446,prod_00937,2
prod_00368,prod_00944,2
prod_00011,prod_00748,2
prod_00795,prod_00940,2
prod_00467,prod_00567,2
prod_00071,prod_00722,2
prod_00036,prod_00740,2
prod_00195,prod_00894,2
prod_00065,prod_00130,2
prod_00292,prod_00323,2
prod_00486,prod_00662,2
prod_00259,prod_00498,2
prod_00267,prod_00274,2
prod_00408,prod_00640,2
prod_00470,prod_00917,2
prod_00418,prod_00426,2
prod_00139,prod_00350,2
prod_00207,prod_00269,2
prod_00164,prod_00864,2
prod_00181,prod_00454,2
prod_00064,prod_00857,2
prod_00030,prod_00090,2
prod_00055,prod_00112,2
prod_00211,prod_00986,2
prod_00622,prod_00887,2
prod_00699,prod_00933,2
prod_00745,prod_00995,2
prod_00191,prod_00329,2
prod_00641,prod_00761,2
prod_00141,prod_00475,2
prod_00215,prod_00540,2
prod_00053,prod_00186,2
prod_00117,prod_00832,2
prod_00371,prod_00444,2
prod_00027,prod_00577,2
prod_00941,prod_00946,2
prod_00502,prod_00583,2
prod_00028,prod_00502,2
prod_00411,prod_00863,2
prod_00061,prod_00455,2
prod_00308,prod_00677,2
prod_00776,prod_00861,2
prod_00187,prod_00602,2
prod_00028,prod_00312,2
prod_00337,prod_00828,2
prod_00770,prod_00824,2
prod_00570,prod_00950,2
prod_00472,prod_00766,2
prod_00141,prod_00193,2
prod_00604,prod_00994,2
prod_00075,prod_00184,2
