cohort_month,month_index,active_users,total_revenue
2025-04-01,6,31,63841.34
2025-04-01,7,40,135610.16999999998
2025-04-01,8,40,154822.93000000002
2025-04-01,9,35,87742.81999999999
2025-05-01,5,134,295777.6300000001
2025-05-01,6,169,652004.1000000003
2025-05-01,7,169,665304.2099999996
2025-05-01,8,136,327823.74
2025-06-01,4,111,216118.36
2025-06-01,5,147,556542.6800000002
2025-06-01,6,146,576147.2599999997
2025-06-01,7,137,346038.91000000003
2025-07-01,3,137,244051.97000000006
2025-07-01,4,182,661533.5
2025-07-01,5,179,628979.9999999998
2025-07-01,6,166,391756.25000000006
2025-08-01,2,130,244697.33000000007
2025-08-01,3,168,641790.0699999993
2025-08-01,4,170,606335.0599999998
2025-08-01,5,150,366355.5599999999
2025-09-01,1,123,219711.61999999997
2025-09-01,2,179,682719.8999999999
2025-09-01,3,177,698902.0500000003
2025-09-01,4,156,367709.27999999997
2025-10-01,0,66,133116.49000000002
2025-10-01,1,88,315602.24000000005
2025-10-01,2,81,321377.27999999997
2025-10-01,3,73,161998.44000000003
