category_id,category_name,revenue
cat_021,Mitchell-Kim,662500.8699999985
cat_017,Hancock Inc,645979.339999999
cat_024,"Patterson, Smith and Jones",555535.2500000001
cat_010,Burns-Rodriguez,542219.7500000002
cat_001,Baldwin Ltd,538189.2499999994
cat_018,Phillips Inc,511377.06000000075
cat_014,"Anderson, Walls and Duncan",491981.7200000003
cat_013,Smith Ltd,477705.28000000113
cat_015,Owens-Daniel,459029.6699999985
cat_012,Carney-Santos,454647.57999999984
cat_009,Skinner-Romero,454238.31
cat_002,James LLC,433097.4800000005
cat_004,Kelly-Santiago,424366.4200000002
cat_007,"Moore, Becker and Carlson",423148.2100000003
cat_011,Spence PLC,420923.63999999897
cat_005,Cameron-Parsons,400092.82000000007
cat_019,Powell PLC,399593.3100000012
cat_020,"Brewer, Bryant and Hickman",367735.10999999935
cat_023,King-Odonnell,356414.449999999
cat_016,Wright-Leblanc,353147.3099999995
cat_022,Preston Ltd,349016.7100000002
cat_006,"Ellis, Baker and Wright",346235.2300000003
cat_000,"Rodriguez, Figueroa and Sanchez",345131.49
cat_008,Rodriguez-Graham,331133.16000000056
cat_003,Bush Inc,302674.63
